Filename,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940
10,0.046271328,0.052186509,0.176063347,0.047291037,0.086467519,0.223681837,0.081626728,0.088115991,0.056083222,0.188872209,0.464541418,0.368996286,0.04163494,0.150839651,0.131844824,0.188616579,0.337898291,0.300559831
11,0.02158544,0.035247132,0.187145348,0.02692284,0.074373497,0.206599171,0.060107855,0.05200047,0.026228821,0.298669128,0.279038992,0.161957358,0.033766639,0.284695092,0.091089545,0.191242761,0.336781678,0.431091359
12,0.061200094,0.046400132,0.095679815,0.048698652,0.061443177,0.087013612,0.062745125,0.077285722,0.052639642,0.137924872,0.576001351,0.765859819,0.048941427,0.156200582,0.457061906,0.641789993,0.459777763,0.445341988
13,-0.001892346,-0.003162076,-0.010925917,0.000119698,0.000789245,-0.003329224,0.001947095,0.003499028,0.001026527,0.005650455,0.054282945,0.039192754,-0.003454518,-0.005004516,0.004169218,0.01355686,0.042697896,0.053740408
14,0.013516429,0.004630661,-0.007023804,0.03485262,0.034291386,0.007955445,0.05960022,0.061856086,0.036306858,0.067451141,0.268100348,0.189828343,0.024255442,0.016355294,0.038986452,0.041569462,0.195762889,0.064544446
15,0.021584286,0.027671509,0.05275657,0.025513369,0.040823676,0.057452672,0.051787502,0.051740799,0.027509362,0.100858136,0.304701264,0.174411305,0.027972503,0.051204371,0.063580155,0.113988463,0.228890832,0.304001175
16,0.028251345,0.020308547,0.024193102,0.040407457,0.04174969,0.039178699,0.053917137,0.056278509,0.035540891,0.069356383,0.212576524,0.151334325,0.032641193,0.042895231,0.04624745,0.05481273,0.230931761,0.147549397
17,0.017736131,0.013363113,0.033246004,0.024307107,0.022847331,0.067546035,0.038894954,0.036958561,0.028331631,0.056321175,0.093403831,0.063405648,0.022310731,0.046113347,0.042406147,0.062326897,0.09603458,0.113697268
18,0.153848905,0.141613149,0.292814573,0.081582746,0.144202875,0.309100914,0.05563823,0.107243854,0.13926729,0.277666406,0.938865068,1.475278934,0.104150803,0.246448827,0.902593133,1.024017785,0.539687231,0.58304823
19,0.025152051,0.03893251,0.100050182,0.043990519,0.059172685,0.110928197,0.034122834,0.041235414,0.024956137,0.119251641,0.289969591,0.276662208,0.030696845,0.097490735,0.081057346,0.127599916,0.18842852,0.108151423
1,0.017176504,0.020412094,0.047137527,0.021407903,0.031092371,0.056179801,0.035039011,0.030928043,0.017746877,0.059984025,0.169397138,0.112126624,0.02248382,0.054241684,0.061331587,0.085449609,0.160886589,0.146306981
20,0.060823932,0.052084076,0.082568715,0.072888844,0.079238209,0.092815056,0.072496245,0.088507275,0.058506822,0.147155813,0.412378225,0.316243564,0.056032643,0.08667977,0.111934507,0.120872271,0.384386064,0.203494853
21,0.045800549,0.034301849,0.068052854,0.051757918,0.062882389,0.069927499,0.087009054,0.092131988,0.045876869,0.12622613,0.524405303,0.376334885,0.047989798,0.129390738,0.120555143,0.208743654,0.406294203,0.393797011
22,0.0184873,0.022725754,0.074920573,0.020845599,0.039062618,0.070326133,0.040313552,0.035790637,0.018958022,0.059842608,0.173873957,0.104821654,0.029616127,0.109555208,0.100644262,0.167226881,0.323229553,0.383279752
23,0.022711617,0.022096679,0.0675846,0.034731994,0.05004492,0.098138598,0.051577147,0.050640461,0.028586954,0.06830275,0.212576524,0.12497291,0.038306239,0.108483368,0.066674192,0.106787254,0.362915603,0.286309202
24,0.038106546,0.033775208,0.097084576,0.039603437,0.057968741,0.147721986,0.091986315,0.086753611,0.045811402,0.125310806,0.427375369,0.259814069,0.034760449,0.117059819,0.166379858,0.36714169,0.340570375,0.454140324
25,0.059322748,0.067969056,0.121745931,0.059846833,0.096382647,0.213910139,0.072897833,0.075731257,0.055123471,0.304375528,0.287302807,0.22134247,0.044314918,0.228311458,0.082698619,0.14510208,0.160155158,0.226922401
26,0.023738561,0.018092867,0.043547583,0.011346286,0.03137281,0.067625303,0.052192568,0.030668373,0.026677927,0.178798983,0.212296974,0.10736625,0.019326027,0.269057819,0.058755669,0.195028093,0.327114987,0.629526492
27,0.078663911,0.050189057,0.086939082,0.033764665,0.04290909,0.101788338,0.044475467,0.07002918,0.059529421,0.239617522,0.402841352,0.433496745,0.031562293,0.357251487,0.129174651,0.233811404,0.193626401,0.320545159
28,0.077908127,0.050926132,0.046044936,0.038233401,0.04540983,0.058093703,0.063054574,0.083251025,0.064374002,0.155334676,0.398495258,0.329422403,0.031949199,0.20650786,0.081482339,0.143314473,0.189302108,0.157783375
29,0.043176649,0.020831849,0.028407384,0.046163646,0.034245587,0.060154652,0.049652652,0.059457396,0.046386205,0.096558133,0.192808933,0.177721895,0.033334642,0.139131593,0.058099272,0.082822793,0.132807293,0.120871108
2,0.030221001,0.025044982,0.055410007,0.027124193,0.031002028,0.03568175,0.035744833,0.036572019,0.022213057,0.060053956,0.310861416,0.366436744,0.025335797,0.059695179,0.113952235,0.159025856,0.177645216,0.107003433
